transaction_id,transaction_date,department,cost_center,transaction_type,vendor_name,amount,payment_mode,invoice_id,employee_id,year_month,is_missing_key_field,is_high_value,is_cash_high_value,is_duplicate_invoice,z_score,is_statistical_anomaly,audit_flag_count,audit_status
TX00001,2025-07-20,IT,CC201,Revenue,Epsilon Tech,80908.84,Card,INV10130,EMP121,2025-07,False,False,False,False,0.2708597829931042,False,0,OK
TX00002,2025-05-02,HR,CC501,Expense,Delta Services,33087.62,Bank Transfer,INV10474,EMP158,2025-05,False,False,False,False,-1.0424887150262496,False,0,OK
TX00003,2025-10-28,HR,CC501,Expense,FastLogix,25639.05,Card,INV12879,EMP102,2025-10,False,False,False,False,-0.590135661979468,False,0,OK
TX00004,2025-05-19,IT,CC101,Expense,Delta Services,50850.76,Bank Transfer,INV12945,EMP183,2025-05,False,False,False,False,-0.45917866122601536,False,0,OK
TX00005,2025-12-15,HR,CC301,Expense,CareMed,70307.23,Bank Transfer,INV11021,EMP105,2025-12,False,False,False,False,-0.1370452642062023,False,0,OK
TX00006,2025-06-10,HR,CC501,Expense,Bright Systems,54717.71,Bank Transfer,INV11275,EMP161,2025-06,False,False,False,False,-0.23469713456160549,False,0,OK
TX00007,2025-08-21,IT,CC102,Expense,Bright Systems,78863.27,Card,INV10492,EMP140,2025-08,False,False,False,False,0.46840523168941894,False,0,OK
TX00008,2025-01-25,Finance,CC101,Expense,CareMed,69237.96,Card,INV12278,EMP140,2025-01,False,False,False,False,-0.04046500500229082,False,0,OK
TX00009,2025-12-07,Finance,CC301,Expense,FastLogix,25976.49,Cash,INV11895,EMP185,2025-12,False,False,False,False,-1.05734389587791,False,0,OK
TX00010,2025-11-03,Finance,CC201,Expense,FastLogix,63105.08,Bank Transfer,INV12842,EMP108,2025-11,False,False,False,False,0.003900337771214765,False,0,OK
TX00011,2025-10-10,HR,CC401,Expense,Alpha Supplies,73051.59,Card,INV11757,EMP122,2025-10,False,False,False,False,-0.15942008823794476,False,0,OK
TX00012,2025-07-13,Sales,CC401,Expense,CareMed,71847.17,Bank Transfer,INV12693,EMP127,2025-07,False,False,False,False,-0.39263432808130083,False,0,OK
TX00013,2025-12-12,HR,CC301,Revenue,CareMed,76860.29,Bank Transfer,INV11306,EMP161,2025-12,False,False,False,False,-0.02608273682093518,False,0,OK
TX00014,2025-09-20,IT,CC101,Expense,FastLogix,26867.28,Bank Transfer,INV11257,EMP143,2025-09,False,False,False,False,-0.9306869049131746,False,0,OK
TX00015,2025-08-15,Sales,CC501,Expense,Alpha Supplies,31036.05,Bank Transfer,INV11636,EMP155,2025-08,False,False,False,False,-0.6120830344172851,False,0,OK
TX00016,2025-01-27,Finance,CC102,Expense,FastLogix,43822.04,Bank Transfer,INV12432,EMP118,2025-01,False,False,False,False,-0.5067332104851511,False,0,OK
TX00017,2025-02-21,HR,CC102,Revenue,Delta Services,62473.95,Card,INV10197,EMP185,2025-02,False,False,False,False,-0.026085314421696155,False,0,OK
TX00018,2025-11-16,Finance,CC101,Expense,FastLogix,75154.08,Bank Transfer,INV11369,EMP166,2025-11,False,False,False,False,0.40985511106419786,False,0,OK
TX00019,2025-03-20,HR,CC101,Expense,Bright Systems,61833.04,Card,INV12520,EMP149,2025-03,False,False,False,False,-0.5572779921344874,False,0,OK
TX00020,2025-07-10,Sales,CC301,Expense,Alpha Supplies,51582.86,Card,INV11183,EMP108,2025-07,False,False,False,False,-0.8137204249696802,False,0,OK
TX00021,2025-09-03,Sales,CC201,Revenue,FastLogix,163145.08,UPI,INV10253,EMP188,2025-09,False,True,False,False,2.6542303874269866,False,1,Review
TX00022,2025-03-25,IT,CC102,Expense,Bright Systems,28050.54,Bank Transfer,INV10397,EMP120,2025-03,False,False,False,False,-0.8294169097437579,False,0,OK
TX00023,2025-04-24,Sales,CC101,Expense,Delta Services,150627.47,Card,INV12277,EMP150,2025-04,False,True,False,False,1.673364998812054,False,1,Review
TX00024,2025-06-08,Sales,CC201,Revenue,FastLogix,138682.72,Card,INV10546,EMP163,2025-06,False,False,False,False,1.7314641232622396,False,0,OK
TX00025,2025-01-17,HR,CC301,Expense,FastLogix,60549.24,Bank Transfer,INV11768,EMP136,2025-01,False,False,False,False,-0.20308974053958356,False,0,OK
TX00026,2025-08-17,IT,CC201,Revenue,Delta Services,36590.97,Bank Transfer,INV11816,EMP153,2025-08,False,False,False,False,-0.7817081163616115,False,0,OK
TX00027,2025-10-03,Operations,CC501,Expense,CareMed,23726.2,Bank Transfer,INV10245,EMP147,2025-10,False,False,False,False,-0.8718795945701466,False,0,OK
TX00028,2025-07-10,Operations,CC201,Expense,Epsilon Tech,20947.41,Bank Transfer,INV10035,EMP144,2025-07,False,False,False,False,-1.1629164612185043,False,0,OK
TX00029,2025-04-01,HR,CC201,Expense,Delta Services,15189.67,Bank Transfer,INV10574,EMP161,2025-04,False,False,False,False,-1.764322722235877,False,0,OK
TX00030,2025-06-26,Operations,CC501,Expense,Bright Systems,134074.03,Bank Transfer,INV12491,EMP107,2025-06,False,False,False,False,2.5370683971517725,False,0,OK
TX00031,2025-05-28,HR,CC301,Expense,Delta Services,37389.88,Card,INV12983,EMP151,2025-05,False,False,False,False,-0.9376599787957,False,0,OK
TX00032,2025-02-28,Operations,CC501,Expense,CareMed,62060.67,Bank Transfer,INV10740,EMP189,2025-02,False,False,False,False,0.22702704131694473,False,0,OK
TX00033,2025-05-23,Finance,CC301,Expense,Bright Systems,44685.16,Bank Transfer,INV10487,EMP100,2025-05,False,False,False,False,-0.4721073143899799,False,0,OK
TX00034,2025-07-05,IT,CC201,Expense,CareMed,76832.45,Bank Transfer,INV11243,EMP168,2025-07,False,False,False,False,0.1807106899353929,False,0,OK
TX00035,2025-01-14,HR,CC401,Expense,Bright Systems,71620.9,Card,INV10356,EMP122,2025-01,False,False,False,True,0.17678141420946075,False,1,Review
TX00036,2025-10-10,IT,CC301,Expense,Bright Systems,67880.68,Card,INV12816,EMP168,2025-10,False,False,False,False,0.029419249659867187,False,0,OK
TX00037,2025-04-16,Operations,CC101,Revenue,CareMed,150510.74,UPI,INV11636,EMP111,2025-04,False,True,False,False,0.9240338018943273,False,1,Review
TX00038,2025-03-01,Finance,CC102,Expense,Epsilon Tech,35074.57,UPI,INV11625,EMP133,2025-03,False,False,False,False,-0.9548975976678419,False,0,OK
TX00039,2025-03-09,HR,CC102,Expense,Epsilon Tech,326186.1,Bank Transfer,INV10728,EMP120,2025-03,False,True,False,False,1.5026544771749668,False,1,Review
